지형지물부호,관리번호,관리기관,행정구역,법정구역,법정동리,도로구간번호,공사번호,설치일자,정류장종류,정류장명,정류장유형,정류장고유번호,취득구분,취득금액,관리부서,내용연수,쉘터설치유무,설치유무(BIT),온열의자설치유무,비고,경도,위도
정류장,245,광주시,도척면,도척면,도척면 상림리,261000, ,2000-01-01,공용,능안마을,지붕무/표지판유, ,미분류,0,대중교통과,10,,,, ,127.3109564,37.32139773
정류장,244,광주시,도척면,도척면,도척면 상림리,261000, ,2000-01-01,공용,능안마을,지붕무/표지판유, ,미분류,0,대중교통과,10,,,, ,127.3108928,37.32143333
정류장,243,광주시,도척면,도척면,도척면 상림리,261516, ,2000-01-01,공용,상림리입구,지붕무/표지판유, ,미분류,0,대중교통과,10,,,, ,127.30802,37.31975814
정류장,242,광주시,도척면,도척면,도척면 상림리,261002, ,2000-01-01,공용,상림리입구,지붕무/표지판유, ,미분류,0,대중교통과,10,,,, ,127.3081705,37.31976638
정류장,241,광주시,도척면,도척면,도척면 상림리,260800, ,2000-01-01,공용,상림1리마을앞,지붕유/표지판유, ,미분류,0,대중교통과,10,,,, ,127.3001464,37.31742814
정류장,240,광주시,도척면,도척면,도척면 상림리,261008, ,2000-01-01,공용,상림2리정자나무,지붕무/표지판유, ,미분류,0,대중교통과,10,,,, ,127.3069817,37.31600938
정류장,239,광주시,도척면,도척면,도척면 상림리,261013, ,2000-01-01,공용,서울대연습림,지붕무/표지판유, ,미분류,0,대중교통과,10,,,, ,127.3114378,37.31386374
정류장,238,광주시,도척면,도척면,도척면 상림리,261013, ,2000-01-01,공용,서울대연습림,지붕무/표지판유, ,미분류,0,대중교통과,10,,,, ,127.3113581,37.31395654
정류장,237,광주시,도척면,도척면,도척면 상림리,261015, ,2000-01-01,공용,상림3리(사기소),지붕무/표지판유, ,미분류,0,대중교통과,10,,,, ,127.3179036,37.30915401
정류장,236,광주시,도척면,도척면,도척면 상림리,260372, ,2000-01-01,공용,(주)다원,지붕무/표지판유, ,미분류,0,대중교통과,10,,,, ,127.3231164,37.30535225
정류장,235,광주시,도척면,도척면,도척면 상림리,260328, ,2000-01-01,공용,(주)다원,지붕무/표지판유, ,미분류,0,대중교통과,10,,,, ,127.3236993,37.30562819
정류장,234,광주시,도척면,도척면,도척면 상림리,260764, ,2000-01-01,공용,사기소두성물류,지붕무/표지판유, ,미분류,0,대중교통과,10,,,, ,127.3253196,37.30675832
정류장,233,광주시,도척면,도척면,도척면 상림리,260328, ,2000-01-01,공용,사기소두성물류,지붕무/표지판유, ,미분류,0,대중교통과,10,,,, ,127.3252353,37.30682961
정류장,232,광주시,도척면,도척면,도척면 노곡리,261774, ,2000-01-01,공용,도척성당,지붕무/표지판유, ,미분류,0,대중교통과,10,,,, ,127.330746,37.3015783
정류장,231,광주시,도척면,도척면,도척면 유정리,262221, ,2000-01-01,공용,유정2리,지붕무/표지판유, ,미분류,0,대중교통과,10,,,, ,127.332102,37.29412587
정류장,230,광주시,도척면,도척면,도척면 유정리,262208, ,2000-01-01,공용,방도1리화승상사,지붕무/표지판유, ,미분류,0,대중교통과,10,,,, ,127.3335675,37.28709078
정류장,229,광주시,도척면,도척면,도척면 방도리,262051, ,2000-01-01,공용,신현철도예연구소,지붕무/표지판유, ,미분류,0,대중교통과,10,,,, ,127.3369919,37.28299796
