지형지물부호,관리번호,관리기관,행정구역,법정구역,법정동리,도로구간번호,공사번호,설치일자,정류장종류,정류장명,정류장유형,정류장고유번호,취득구분,취득금액,관리부서,내용연수,쉘터설치유무,설치유무(BIT),온열의자설치유무,비고,경도,위도
정류장,391,광주시,송정동,목현동,목현동,140489, ,2000-01-01,공용,성민교회,지붕무/표지판유, ,미분류,0,대중교통과,10,,,, ,127.2189238,37.43524435
정류장,390,광주시,송정동,목현동,목현동,140489, ,2000-01-01,공용,성민교회,지붕무/표지판유, ,미분류,0,대중교통과,10,,,, ,127.2188329,37.43515263
정류장,389,광주시,송정동,목현동,목현동,140489, ,2000-01-01,공용,쌍용하이츠빌2차,지붕무/표지판유,38-905,매입,0,대중교통과,10,,,, ,127.2128996,37.43375164
정류장,388,광주시,송정동,목현동,목현동,140580, ,2000-01-01,공용,목현2통GS주유소,지붕유/표지판무, ,미분류,0,대중교통과,10,,,, ,127.2037132,37.43192927
정류장,387,광주시,송정동,탄벌동,탄벌동,160403, ,2010-01-01,공용,경남아너스빌,지붕유/표지판유, ,,0,대중교통과,10,,,, ,127.2392116,37.40993409
정류장,386,광주시,송정동,탄벌동,탄벌동,1111, ,2000-01-01,공용,탄벌중학교,지붕유/표지판무, ,미분류,0,대중교통과,10,,,, ,127.2436061,37.41356296
정류장,385,광주시,송정동,탄벌동,탄벌동,1111, ,2000-01-01,공용,탄벌중학교,지붕유/표지판무, ,미분류,0,대중교통과,10,,,, ,127.2434596,37.41367615
정류장,384,광주시,송정동,탄벌동,경안동,1822, ,2000-01-01,공용,동보아파트,지붕유/표지판유, ,,0,대중교통과,10,,,, ,127.2473408,37.41462716
정류장,383,광주시,송정동,탄벌동,탄벌동,183, ,2000-01-01,공용,동보아파트,지붕무/표지판유, ,미분류,0,대중교통과,10,,,, ,127.2495796,37.41494356
정류장,382,광주시,경안동,경안동,경안동,241, ,2000-01-01,공용,경안7통앞,지붕무/표지판유, ,미분류,0,대중교통과,10,,,, ,127.251616,37.41264446
